date,lat,lon,grid_id,value,pollutant,units
2025-10-05,35.4,45.25,0.0,182.17395646195567,O3,DU
2025-10-05,35.408205128205125,45.25,1.0,187.12936893234522,O3,DU
2025-10-05,35.41641025641025,45.25,2.0,191.149919939832,O3,DU
2025-10-05,35.424615384615386,45.25,3.0,193.4576347995365,O3,DU
2025-10-05,35.43282051282051,45.25,4.0,187.64406386567904,O3,DU
2025-10-05,35.44102564102564,45.25,5.0,181.59254468679293,O3,DU
2025-10-05,35.449230769230766,45.25,6.0,176.27700871468977,O3,DU
2025-10-05,35.45743589743589,45.25,7.0,172.72091534656343,O3,DU
2025-10-05,35.46564102564103,45.25,8.0,192.66388366735342,O3,DU
2025-10-05,35.473846153846154,45.25,9.0,147.76410328538373,O3,DU
2025-10-05,35.48205128205128,45.25,10.0,182.43829741447772,O3,DU
2025-10-05,35.49025641025641,45.25,11.0,174.5747095727725,O3,DU
2025-10-05,35.498461538461534,45.25,12.0,176.91824654048384,O3,DU
2025-10-05,35.50666666666667,45.25,13.0,216.06559613544334,O3,DU
2025-10-05,35.514871794871794,45.25,14.0,176.34258359249523,O3,DU
2025-10-05,35.52307692307692,45.25,15.0,186.78445008062033,O3,DU
2025-10-05,35.53128205128205,45.25,16.0,166.29845324973437,O3,DU
2025-10-05,35.539487179487175,45.25,17.0,169.56326055743594,O3,DU
2025-10-05,35.54769230769231,45.25,18.0,180.63520146165894,O3,DU
2025-10-05,35.555897435897435,45.25,19.0,188.6797741939799,O3,DU
2025-10-05,35.56410256410256,45.25,20.0,169.59741568753174,O3,DU
2025-10-05,35.57230769230769,45.25,21.0,202.07561029637986,O3,DU
2025-10-05,35.58051282051282,45.25,22.0,181.36602034261915,O3,DU
2025-10-05,35.58871794871795,45.25,23.0,181.77302619887902,O3,DU
2025-10-05,35.596923076923076,45.25,24.0,192.5509857859293,O3,DU
2025-10-05,35.6051282051282,45.25,25.0,183.3393441215805,O3,DU
2025-10-05,35.61333333333333,45.25,26.0,180.9083481321943,O3,DU
2025-10-05,35.621538461538464,45.25,27.0,168.9572196947194,O3,DU
2025-10-05,35.62974358974359,45.25,28.0,169.7274597105032,O3,DU
2025-10-05,35.63794871794872,45.25,29.0,181.9171427120174,O3,DU
2025-10-05,35.646153846153844,45.25,30.0,179.94390327119177,O3,DU
2025-10-05,35.65435897435897,45.25,31.0,173.59283907154898,O3,DU
2025-10-05,35.662564102564104,45.25,32.0,190.05331421107113,O3,DU
2025-10-05,35.67076923076923,45.25,33.0,171.3999554392451,O3,DU
