date,lat,lon,estimated_ndvi,vegetation_category
2024-06-01,35.4,45.25,0.501,Moderate Vegetation
2024-06-01,35.4,45.2595,0.213,Sparse Vegetation
2024-06-01,35.4,45.269,0.168,Sparse Vegetation
2024-06-01,35.4,45.2785,0.369,Moderate Vegetation
2024-06-01,35.4,45.2879,0.381,Moderate Vegetation
2024-06-01,35.4,45.2974,0.427,Moderate Vegetation
2024-06-01,35.4,45.3069,0.552,Moderate Vegetation
2024-06-01,35.4,45.3164,0.394,Moderate Vegetation
2024-06-01,35.4,45.3259,0.292,Sparse Vegetation
2024-06-01,35.4,45.3354,0.376,Moderate Vegetation
2024-06-01,35.4,45.3449,0.166,Sparse Vegetation
2024-06-01,35.4,45.3544,0.438,Moderate Vegetation
2024-06-01,35.4,45.3638,0.466,Moderate Vegetation
2024-06-01,35.4,45.3733,0.607,Dense Vegetation
2024-06-01,35.4,45.3828,0.352,Moderate Vegetation
2024-06-01,35.4,45.3923,0.577,Moderate Vegetation
2024-06-01,35.4,45.4018,0.371,Moderate Vegetation
2024-06-01,35.4,45.4113,0.695,Dense Vegetation
2024-06-01,35.4,45.4208,0.485,Moderate Vegetation
2024-06-01,35.4,45.4303,0.316,Moderate Vegetation
2024-06-01,35.4,45.4397,0.679,Dense Vegetation
2024-06-01,35.4,45.4492,0.581,Moderate Vegetation
2024-06-01,35.4,45.4587,0.412,Moderate Vegetation
2024-06-01,35.4,45.4682,0.473,Moderate Vegetation
2024-06-01,35.4,45.4777,0.533,Moderate Vegetation
2024-06-01,35.4,45.4872,0.453,Moderate Vegetation
2024-06-01,35.4,45.4967,0.237,Sparse Vegetation
2024-06-01,35.4,45.5062,0.416,Moderate Vegetation
2024-06-01,35.4,45.5156,0.331,Moderate Vegetation
2024-06-01,35.4,45.5251,0.342,Moderate Vegetation
2024-06-01,35.4,45.5346,0.359,Moderate Vegetation
2024-06-01,35.4,45.5441,0.565,Moderate Vegetation
2024-06-01,35.4,45.5536,0.495,Moderate Vegetation
2024-06-01,35.4,45.5631,0.47,Moderate Vegetation
2024-06-01,35.4,45.5726,0.276,Sparse Vegetation
2024-06-01,35.4,45.5821,0.399,Moderate Vegetation
2024-06-01,35.4,45.5915,0.18,Sparse Vegetation
2024-06-01,35.4,45.601,0.4,Moderate Vegetation
2024-06-01,35.4,45.6105,0.302,Moderate Vegetation
2024-06-01,35.4,45.62,0.306,Moderate Vegetation
2024-06-01,35.4082,45.25,0.518,Moderate Vegetation
2024-06-01,35.4082,45.2595,0.376,Moderate Vegetation
2024-06-01,35.4082,45.269,0.419,Moderate Vegetation
2024-06-01,35.4082,45.2785,0.426,Moderate Vegetation
2024-06-01,35.4082,45.2879,0.154,Sparse Vegetation
2024-06-01,35.4082,45.2974,0.36,Moderate Vegetation
2024-06-01,35.4082,45.3069,0.291,Sparse Vegetation
2024-06-01,35.4082,45.3164,0.53,Moderate Vegetation
2024-06-01,35.4082,45.3259,0.418,Moderate Vegetation
2024-06-01,35.4082,45.3354,0.427,Moderate Vegetation
2024-06-01,35.4082,45.3449,0.576,Moderate Vegetation
2024-06-01,35.4082,45.3544,0.493,Moderate Vegetation
2024-06-01,35.4082,45.3638,0.493,Moderate Vegetation
2024-06-01,35.4082,45.3733,0.503,Moderate Vegetation
2024-06-01,35.4082,45.3828,0.324,Moderate Vegetation
2024-06-01,35.4082,45.3923,0.44,Moderate Vegetation
2024-06-01,35.4082,45.4018,0.674,Dense Vegetation
2024-06-01,35.4082,45.4113,0.432,Moderate Vegetation
2024-06-01,35.4082,45.4208,0.525,Moderate Vegetation
2024-06-01,35.4082,45.4303,0.514,Moderate Vegetation
2024-06-01,35.4082,45.4397,0.508,Moderate Vegetation
2024-06-01,35.4082,45.4492,0.531,Moderate Vegetation
2024-06-01,35.4082,45.4587,0.459,Moderate Vegetation
2024-06-01,35.4082,45.4682,0.467,Moderate Vegetation
2024-06-01,35.4082,45.4777,0.477,Moderate Vegetation
2024-06-01,35.4082,45.4872,0.375,Moderate Vegetation
2024-06-01,35.4082,45.4967,0.392,Moderate Vegetation
2024-06-01,35.4082,45.5062,0.407,Moderate Vegetation
2024-06-01,35.4082,45.5156,0.496,Moderate Vegetation
2024-06-01,35.4082,45.5251,0.56,Moderate Vegetation
2024-06-01,35.4082,45.5346,0.41,Moderate Vegetation
2024-06-01,35.4082,45.5441,0.129,Sparse Vegetation
2024-06-01,35.4082,45.5536,0.352,Moderate Vegetation
2024-06-01,35.4082,45.5631,0.441,Moderate Vegetation
2024-06-01,35.4082,45.5726,0.369,Moderate Vegetation
2024-06-01,35.4082,45.5821,0.28,Sparse Vegetation
2024-06-01,35.4082,45.5915,0.281,Sparse Vegetation
2024-06-01,35.4082,45.601,0.354,Moderate Vegetation
2024-06-01,35.4082,45.6105,0.519,Moderate Vegetation
2024-06-01,35.4082,45.62,0.44,Moderate Vegetation
2024-06-01,35.4164,45.25,0.386,Moderate Vegetation
2024-06-01,35.4164,45.2595,0.458,Moderate Vegetation
2024-06-01,35.4164,45.269,0.51,Moderate Vegetation
2024-06-01,35.4164,45.2785,0.457,Moderate Vegetation
2024-06-01,35.4164,45.2879,0.419,Moderate Vegetation
2024-06-01,35.4164,45.2974,0.273,Sparse Vegetation
2024-06-01,35.4164,45.3069,0.358,Moderate Vegetation
2024-06-01,35.4164,45.3164,0.473,Moderate Vegetation
2024-06-01,35.4164,45.3259,0.558,Moderate Vegetation
2024-06-01,35.4164,45.3354,0.434,Moderate Vegetation
2024-06-01,35.4164,45.3449,0.556,Moderate Vegetation
2024-06-01,35.4164,45.3544,0.659,Dense Vegetation
2024-06-01,35.4164,45.3638,0.481,Moderate Vegetation
2024-06-01,35.4164,45.3733,0.581,Moderate Vegetation
2024-06-01,35.4164,45.3828,0.405,Moderate Vegetation
2024-06-01,35.4164,45.3923,0.382,Moderate Vegetation
2024-06-01,35.4164,45.4018,0.594,Moderate Vegetation
2024-06-01,35.4164,45.4113,0.743,Dense Vegetation
2024-06-01,35.4164,45.4208,0.448,Moderate Vegetation
2024-06-01,35.4164,45.4303,0.488,Moderate Vegetation
2024-06-01,35.4164,45.4397,0.447,Moderate Vegetation
2024-06-01,35.4164,45.4492,0.488,Moderate Vegetation
2024-06-01,35.4164,45.4587,0.473,Moderate Vegetation
2024-06-01,35.4164,45.4682,0.555,Moderate Vegetation
2024-06-01,35.4164,45.4777,0.464,Moderate Vegetation
2024-06-01,35.4164,45.4872,0.517,Moderate Vegetation
2024-06-01,35.4164,45.4967,0.579,Moderate Vegetation
2024-06-01,35.4164,45.5062,0.65,Dense Vegetation
2024-06-01,35.4164,45.5156,0.716,Dense Vegetation
2024-06-01,35.4164,45.5251,0.607,Dense Vegetation
2024-06-01,35.4164,45.5346,0.411,Moderate Vegetation
2024-06-01,35.4164,45.5441,0.343,Moderate Vegetation
2024-06-01,35.4164,45.5536,0.475,Moderate Vegetation
2024-06-01,35.4164,45.5631,0.272,Sparse Vegetation
2024-06-01,35.4164,45.5726,0.421,Moderate Vegetation
2024-06-01,35.4164,45.5821,0.447,Moderate Vegetation
2024-06-01,35.4164,45.5915,0.467,Moderate Vegetation
2024-06-01,35.4164,45.601,0.48,Moderate Vegetation
2024-06-01,35.4164,45.6105,0.252,Sparse Vegetation
