lat,lon,normalized_light_intensity,economic_activity_score,commercial_potential,grid_i,grid_j,timestamp
35.427222,45.155833,0.1566635073017005,15.66635073017005,Low,0.0,0.0,2025-10-05T14:47:53.560191
35.427222,45.15983412121212,0.15141686010386682,15.141686010386682,Low,0.0,1.0,2025-10-05T14:47:53.561202
35.427222,45.16383524242424,0.10777592800852054,10.777592800852053,Low,0.0,2.0,2025-10-05T14:47:53.562201
35.427222,45.16783636363636,0.19760542999872321,19.76054299987232,Low,0.0,3.0,2025-10-05T14:47:53.562201
35.427222,45.17183748484849,0.16956518219327868,16.95651821932787,Low,0.0,4.0,2025-10-05T14:47:53.562201
35.427222,45.17583860606061,0.022149626368690802,2.21496263686908,Low,0.0,5.0,2025-10-05T14:47:53.562201
35.427222,45.17983972727273,0.08793155176928909,8.79315517692891,Low,0.0,6.0,2025-10-05T14:47:53.562201
35.427222,45.18384084848485,0.1380148192224986,13.801481922249861,Low,0.0,7.0,2025-10-05T14:47:53.562201
35.427222,45.18784196969697,0.08467421223458632,8.467421223458633,Low,0.0,8.0,2025-10-05T14:47:53.562201
35.427222,45.19184309090909,0.030535288448999734,3.0535288448999736,Low,0.0,9.0,2025-10-05T14:47:53.563194
35.427222,45.195844212121216,0.11393046042662978,11.393046042662979,Low,0.0,10.0,2025-10-05T14:47:53.563194
35.427222,45.199845333333336,0.11375855300476422,11.375855300476422,Low,0.0,11.0,2025-10-05T14:47:53.563194
35.427222,45.203846454545456,0.07453653650203354,7.453653650203354,Low,0.0,12.0,2025-10-05T14:47:53.563194
35.427222,45.207847575757576,0.000621611750026041,0.062161175002604104,Low,0.0,13.0,2025-10-05T14:47:53.563194
35.427222,45.211848696969696,0.022411123271695234,2.2411123271695232,Low,0.0,14.0,2025-10-05T14:47:53.563194
35.427222,45.215849818181816,0.07141719493712624,7.141719493712624,Low,0.0,15.0,2025-10-05T14:47:53.563194
35.427222,45.21985093939394,0.06599365616581468,6.599365616581468,Low,0.0,16.0,2025-10-05T14:47:53.563194
