date,lat,lon,air_temperature_2m,land_surface_temperature,heat_island_intensity
2024-06-01,35.4,45.25,33.99,40.59,6.59
2024-06-01,35.4,45.2595,39.43,46.1,6.66
2024-06-01,35.4,45.269,38.65,45.38,6.73
2024-06-01,35.4,45.2785,39.12,45.91,6.8
2024-06-01,35.4,45.2879,36.48,43.34,6.86
2024-06-01,35.4,45.2974,37.41,44.33,6.92
2024-06-01,35.4,45.3069,39.08,46.06,6.98
2024-06-01,35.4,45.3164,35.38,42.42,7.04
2024-06-01,35.4,45.3259,39.68,46.77,7.09
2024-06-01,35.4,45.3354,37.48,44.62,7.14
2024-06-01,35.4,45.3449,41.39,48.58,7.19
2024-06-01,35.4,45.3544,41.36,48.59,7.23
2024-06-01,35.4,45.3638,32.77,40.04,7.27
2024-06-01,35.4,45.3733,38.93,46.24,7.3
2024-06-01,35.4,45.3828,37.2,44.53,7.33
2024-06-01,35.4,45.3923,36.69,44.04,7.36
2024-06-01,35.4,45.4018,37.5,44.87,7.38
2024-06-01,35.4,45.4113,35.82,43.21,7.39
2024-06-01,35.4,45.4208,37.91,45.31,7.4
2024-06-01,35.4,45.4303,36.34,43.74,7.4
2024-06-01,35.4,45.4397,40.09,47.48,7.4
2024-06-01,35.4,45.4492,32.47,39.86,7.39
2024-06-01,35.4,45.4587,35.83,43.2,7.37
2024-06-01,35.4,45.4682,40.33,47.69,7.36
2024-06-01,35.4,45.4777,40.08,47.41,7.33
2024-06-01,35.4,45.4872,38.5,45.8,7.3
2024-06-01,35.4,45.4967,34.58,41.85,7.27
2024-06-01,35.4,45.5062,40.92,48.14,7.23
2024-06-01,35.4,45.5156,36.38,43.57,7.19
2024-06-01,35.4,45.5251,35.18,42.32,7.14
2024-06-01,35.4,45.5346,39.79,46.88,7.09
2024-06-01,35.4,45.5441,38.06,45.09,7.03
2024-06-01,35.4,45.5536,38.87,45.85,6.98
2024-06-01,35.4,45.5631,41.63,48.55,6.92
2024-06-01,35.4,45.5726,39.37,46.22,6.86
2024-06-01,35.4,45.5821,39.12,45.92,6.79
2024-06-01,35.4,45.5915,37.81,44.53,6.73
2024-06-01,35.4,45.601,35.11,41.77,6.66
2024-06-01,35.4,45.6105,34.21,40.8,6.59
2024-06-01,35.4,45.62,37.39,43.9,6.52
2024-06-01,35.4082,45.25,36.73,43.37,6.65
2024-06-01,35.4082,45.2595,39.75,46.47,6.72
2024-06-01,35.4082,45.269,38.26,45.05,6.79
2024-06-01,35.4082,45.2785,37.62,44.47,6.86
2024-06-01,35.4082,45.2879,38.4,45.32,6.92
2024-06-01,35.4082,45.2974,38.11,45.09,6.98
2024-06-01,35.4082,45.3069,38.78,45.82,7.05
2024-06-01,35.4082,45.3164,38.95,46.05,7.1
2024-06-01,35.4082,45.3259,36.36,43.52,7.16
2024-06-01,35.4082,45.3354,36.41,43.63,7.21
2024-06-01,35.4082,45.3449,37.51,44.77,7.26
